"State","X30.01.20","X31.01.20","X01.02.20","X02.02.20","X03.02.20","X04.02.20","X05.02.20","X06.02.20","X07.02.20","X08.02.20","X09.02.20","X10.02.20","X11.02.20","X12.02.20","X13.02.20","X14.02.20","X15.02.20","X16.02.20","X17.02.20","X18.02.20","X19.02.20","X20.02.20","X21.02.20","X22.02.20","X23.02.20","X24.02.20","X25.02.20","X26.02.20","X27.02.20","X28.02.20","X29.02.20","X01.03.20","X02.03.20","X03.03.20","X04.03.20","X05.03.20","X06.03.20","X07.03.20","X08.03.20","X09.03.20","X10.03.20","X11.03.20","X12.03.20","X13.03.20","X14.03.20","X15.03.20","X16.03.20","X17.03.20","X18.03.20","X19.03.20","X20.03.20","X21.03.20","X22.03.20","X23.03.20","X24.03.20"
"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,5,7,8
"Bihar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
"Chandigarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7
"Chhattisgarh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,6,7,7,7,8,10,12,17,26,29,29,30
"Gujarat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,29,33
"Haryana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,14,14,14,14,14,14,15,17,17,17,17,21,26,28
"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4
"Karnataka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,6,6,6,6,11,11,14,15,15,26,33,37
